ID,class,capShape,capSurface,capColor,bruises,odor,gillAttachment,gillSpacing,gillSize,gillColor,stalkShape,stalkRoot,stalkSurfaceAboveRing,stalkSurfaceBelowRing,stalkColorAboveRing,stalkColorBelowRing,ringNumber,ringType,sporePrintColor,population,habitat
1123,edible,convex,fibrous,red,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,pink,white,1,pendant,brown,several,woods
1124,poisonous,knobbed,scaly,red,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,woods
1125,poisonous,convex,scaly,yellow,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,pink,buff,1,large,chocolate,solitary,woods
1126,edible,convex,fibrous,brown,none,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,1,pendant,brown,several,urban
1127,poisonous,convex,smooth,brown,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,white,white,1,evanescent,white,several,leaves
1128,poisonous,flat,fibrous,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,brown,1,large,chocolate,several,woods
1129,poisonous,convex,smooth,brown,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,leaves
1130,poisonous,flat,smooth,white,bruises,foul,free,close,broad,chocolate,tapering,bulbuous,fibrous,smooth,white,white,1,pendant,chocolate,scattered,grasses
1131,edible,convex,fibrous,gray,none,none,free,crowded,broad,black,tapering,equal,smooth,fibrous,white,white,1,evanescent,brown,scattered,grasses
1132,poisonous,convex,smooth,red,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,woods
1133,edible,bell,smooth,white,none,none,free,crowded,broad,white,enlarging,cup,smooth,smooth,white,white,2,pendant,white,scattered,grasses
1134,edible,flat,scaly,red,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,pink,pink,1,pendant,brown,solitary,woods
1135,edible,flat,smooth,brown,none,none,free,crowded,broad,chocolate,tapering,equal,smooth,smooth,white,white,1,evanescent,brown,scattered,grasses
1136,edible,convex,scaly,gray,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,gray,white,1,pendant,black,solitary,woods
1137,edible,flat,smooth,cinnamon,bruises,none,free,close,broad,white,enlarging,bulbuous,smooth,smooth,white,white,2,pendant,white,solitary,paths
1138,edible,flat,smooth,gray,none,none,free,crowded,broad,pink,tapering,equal,smooth,fibrous,white,white,1,evanescent,brown,scattered,grasses
1139,edible,convex,scaly,red,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,white,gray,1,pendant,brown,solitary,woods
1140,edible,convex,scaly,yellow,bruises,ansie,free,close,broad,white,enlarging,club,smooth,smooth,white,white,1,pendant,black,numerous,meadows
1141,edible,convex,smooth,gray,none,none,free,crowded,broad,gray,enlarging,cup,silky,smooth,white,white,2,pendant,white,scattered,grasses
1142,poisonous,knobbed,smooth,red,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,woods
1143,poisonous,convex,smooth,red,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,pink,pink,1,evanescent,white,several,leaves
1144,poisonous,convex,scaly,red,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,leaves
1145,edible,convex,scaly,cinnamon,bruises,none,free,close,broad,white,enlarging,bulbuous,smooth,smooth,white,white,2,pendant,white,several,paths
1146,edible,convex,fibrous,gray,none,none,free,crowded,broad,gray,enlarging,cup,silky,smooth,white,white,2,pendant,white,scattered,grasses
1147,poisonous,knobbed,smooth,brown,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,pink,pink,1,evanescent,white,several,paths
1148,poisonous,convex,smooth,buff,bruises,foul,free,close,broad,white,tapering,bulbuous,fibrous,smooth,white,white,1,pendant,chocolate,several,urban
1149,poisonous,flat,smooth,red,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,pink,pink,1,evanescent,white,several,woods
1150,poisonous,flat,scaly,red,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,pink,pink,1,evanescent,white,several,paths
1151,edible,convex,scaly,gray,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,pink,gray,1,pendant,black,several,woods
1152,edible,flat,smooth,gray,none,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,1,evanescent,black,scattered,grasses
1153,poisonous,convex,scaly,brown,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,white,1,evanescent,white,several,leaves
1154,poisonous,knobbed,smooth,red,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,pink,pink,1,evanescent,white,several,paths
1155,edible,knobbed,smooth,brown,none,none,attached,close,broad,brown,enlarging,cup,smooth,smooth,orange,orange,1,pendant,yellow,clustered,leaves
1156,poisonous,convex,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,1,pendant,black,several,urban
1157,poisonous,flat,scaly,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,pink,1,large,chocolate,several,grasses
1158,poisonous,flat,scaly,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,1,pendant,black,several,grasses
1159,poisonous,flat,smooth,brown,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,woods
1160,poisonous,flat,smooth,red,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,white,1,evanescent,white,several,leaves
1161,poisonous,convex,scaly,gray,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,pink,1,large,chocolate,several,paths
1162,poisonous,flat,scaly,white,bruises,none,free,close,broad,green,enlarging,bulbuous,smooth,smooth,white,white,2,pendant,green,several,meadows
1163,edible,convex,smooth,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,1,pendant,brown,scattered,grasses
1164,poisonous,knobbed,smooth,brown,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,white,white,1,evanescent,white,several,woods
1165,poisonous,convex,fibrous,gray,none,creosote,free,crowded,narrow,brown,enlarging,bulbuous,smooth,smooth,white,white,1,pendant,black,scattered,woods
1166,poisonous,flat,scaly,brown,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,leaves
1167,edible,flat,scaly,brown,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,gray,white,1,pendant,black,solitary,woods
1168,edible,convex,fibrous,brown,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,pink,pink,1,pendant,brown,several,woods
1169,edible,flat,fibrous,red,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,white,white,1,pendant,black,several,woods
1170,edible,convex,fibrous,gray,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,pink,pink,1,pendant,black,solitary,woods
1171,edible,flat,scaly,red,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,pink,gray,1,pendant,brown,several,woods
1172,poisonous,flat,scaly,red,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,pink,1,evanescent,white,several,paths
1173,poisonous,flat,smooth,brown,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,white,1,evanescent,white,several,woods
1174,poisonous,convex,scaly,brown,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,paths
1175,poisonous,convex,fibrous,yellow,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,brown,pink,1,large,chocolate,solitary,paths
1176,poisonous,convex,fibrous,white,none,creosote,free,close,narrow,purple,enlarging,bulbuous,smooth,smooth,white,white,1,pendant,brown,several,woods
1177,poisonous,convex,scaly,gray,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,brown,1,large,chocolate,several,grasses
1178,edible,convex,fibrous,white,none,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,1,evanescent,brown,scattered,grasses
1179,edible,convex,fibrous,white,none,none,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,1,evanescent,black,abundant,grasses
1180,edible,convex,fibrous,gray,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,gray,white,1,pendant,black,solitary,woods
1181,edible,bell,smooth,yellow,bruises,ansie,free,close,broad,white,enlarging,club,smooth,smooth,white,white,1,pendant,black,numerous,grasses
1182,poisonous,flat,scaly,gray,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,buff,brown,1,large,chocolate,several,paths
1183,edible,flat,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,pink,white,1,pendant,brown,several,woods
1184,poisonous,convex,scaly,gray,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,brown,pink,1,large,chocolate,solitary,paths
1185,poisonous,flat,fibrous,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,pink,1,large,chocolate,several,paths
1186,poisonous,flat,scaly,yellow,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,buff,brown,1,large,chocolate,solitary,woods
1187,edible,flat,fibrous,gray,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,pink,pink,1,pendant,brown,several,woods
1188,poisonous,knobbed,scaly,brown,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,woods
1189,edible,convex,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,pink,gray,1,pendant,brown,several,woods
1190,poisonous,knobbed,smooth,red,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,leaves
1191,edible,flat,scaly,brown,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,pink,white,1,pendant,black,several,woods
1192,poisonous,knobbed,smooth,red,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,white,1,evanescent,white,several,paths
1193,poisonous,convex,smooth,brown,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,pink,1,evanescent,white,several,woods
1194,edible,flat,smooth,white,none,none,free,crowded,broad,chocolate,tapering,equal,fibrous,fibrous,white,white,1,evanescent,black,scattered,grasses
1195,poisonous,convex,fibrous,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,pink,1,large,chocolate,several,grasses
1196,poisonous,convex,fibrous,yellow,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,brown,buff,1,large,chocolate,solitary,woods
1197,poisonous,flat,fibrous,gray,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,buff,brown,1,large,chocolate,solitary,grasses
1198,poisonous,flat,smooth,red,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,leaves
1199,edible,convex,scaly,gray,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,pink,gray,1,pendant,brown,several,woods
1200,poisonous,flat,smooth,red,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,paths
1201,poisonous,knobbed,scaly,yellow,none,none,free,close,narrow,white,enlarging,cup,silky,scaly,white,yellow,1,evanescent,white,several,woods
1202,poisonous,flat,scaly,yellow,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,buff,pink,1,large,chocolate,several,woods
1203,edible,convex,scaly,gray,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,gray,white,1,pendant,black,solitary,woods
1204,poisonous,flat,smooth,red,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,paths
1205,edible,convex,smooth,brown,bruises,none,free,close,broad,red,enlarging,cup,smooth,smooth,red,white,2,evanescent,white,clustered,waste
1206,poisonous,flat,scaly,red,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,white,1,evanescent,white,several,leaves
1207,edible,knobbed,smooth,brown,none,none,attached,close,broad,brown,enlarging,cup,smooth,smooth,orange,orange,1,pendant,buff,several,leaves
1208,edible,bell,smooth,brown,none,none,attached,close,broad,brown,enlarging,cup,smooth,smooth,orange,orange,1,pendant,buff,clustered,leaves
1209,edible,convex,scaly,brown,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,pink,pink,1,pendant,black,several,woods
1210,poisonous,flat,smooth,red,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,leaves
1211,edible,knobbed,fibrous,gray,none,none,free,crowded,broad,gray,enlarging,cup,smooth,smooth,white,white,2,pendant,white,scattered,grasses
1212,poisonous,flat,smooth,buff,bruises,foul,free,close,broad,pink,tapering,bulbuous,fibrous,smooth,white,white,1,pendant,chocolate,scattered,urban
1213,poisonous,knobbed,smooth,brown,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,woods
1214,poisonous,knobbed,smooth,brown,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,paths
1215,edible,flat,fibrous,white,none,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,1,evanescent,black,scattered,grasses
1216,poisonous,flat,smooth,red,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,paths
1217,poisonous,flat,smooth,brown,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,paths
1218,poisonous,convex,scaly,red,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,paths
1219,poisonous,knobbed,smooth,red,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,pink,pink,1,evanescent,white,several,woods
1220,edible,flat,scaly,red,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,white,gray,1,pendant,black,several,woods
1221,edible,convex,fibrous,red,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,gray,pink,1,pendant,brown,solitary,woods
1222,edible,bell,smooth,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,1,pendant,black,numerous,grasses
1223,edible,convex,fibrous,brown,none,none,free,crowded,broad,pink,tapering,equal,fibrous,smooth,white,white,1,evanescent,brown,abundant,grasses
1224,poisonous,flat,smooth,brown,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,leaves
1225,edible,convex,fibrous,red,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,pink,gray,1,pendant,black,several,woods
1226,edible,knobbed,smooth,brown,none,none,attached,close,broad,brown,enlarging,cup,smooth,smooth,orange,orange,1,pendant,yellow,several,leaves
1227,edible,bell,smooth,white,bruises,ansie,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,1,pendant,brown,scattered,meadows
1228,edible,flat,fibrous,gray,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,gray,white,1,pendant,brown,solitary,woods
1229,poisonous,knobbed,smooth,red,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,paths
1230,poisonous,flat,smooth,white,bruises,foul,free,close,broad,white,tapering,bulbuous,smooth,smooth,white,white,1,pendant,chocolate,scattered,grasses
1231,edible,convex,smooth,brown,none,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,1,evanescent,brown,scattered,grasses
1232,poisonous,convex,smooth,buff,bruises,foul,free,close,broad,white,tapering,bulbuous,smooth,smooth,white,white,1,pendant,chocolate,scattered,urban
1233,edible,convex,fibrous,red,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,white,gray,1,pendant,brown,several,woods
1234,edible,convex,fibrous,gray,none,none,free,crowded,broad,pink,tapering,equal,fibrous,fibrous,white,white,1,evanescent,black,abundant,grasses
1235,poisonous,convex,scaly,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,buff,pink,1,large,chocolate,solitary,grasses
1236,poisonous,knobbed,scaly,red,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,leaves
1237,edible,bell,fibrous,white,none,none,free,crowded,broad,white,enlarging,cup,smooth,smooth,white,white,2,pendant,white,numerous,grasses
1238,edible,flat,fibrous,brown,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,white,pink,1,pendant,brown,several,woods
1239,poisonous,flat,scaly,gray,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,buff,pink,1,large,chocolate,solitary,woods
1240,poisonous,convex,scaly,red,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,leaves
1241,edible,convex,scaly,buff,bruises,none,free,close,broad,red,enlarging,cup,smooth,smooth,red,red,2,evanescent,white,clustered,waste
1242,edible,flat,scaly,pink,bruises,none,free,close,broad,white,enlarging,cup,smooth,smooth,red,white,2,evanescent,white,clustered,waste
1243,poisonous,convex,scaly,red,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,white,white,1,evanescent,white,several,woods
1244,poisonous,convex,smooth,buff,bruises,foul,free,close,broad,chocolate,tapering,bulbuous,fibrous,smooth,white,white,1,pendant,chocolate,scattered,grasses
1245,edible,convex,fibrous,brown,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,gray,pink,1,pendant,black,solitary,woods
1246,edible,flat,fibrous,red,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,pink,white,1,pendant,black,several,woods
1247,edible,convex,smooth,white,none,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,1,evanescent,black,abundant,grasses
1248,edible,flat,fibrous,brown,none,none,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,1,pendant,brown,several,urban
1249,edible,flat,fibrous,brown,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,pink,white,1,pendant,brown,solitary,woods
1250,edible,convex,smooth,brown,none,none,attached,close,broad,yellow,enlarging,cup,smooth,smooth,orange,orange,1,pendant,yellow,several,leaves
1251,edible,convex,scaly,brown,bruises,none,free,close,broad,red,enlarging,cup,smooth,smooth,white,white,2,evanescent,white,clustered,waste
1252,poisonous,convex,scaly,brown,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,paths
1253,edible,convex,scaly,green,none,none,free,close,narrow,white,enlarging,cup,smooth,fibrous,white,white,1,flaring,chocolate,solitary,woods
1254,poisonous,knobbed,scaly,brown,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,white,1,evanescent,white,several,leaves
1255,edible,convex,smooth,gray,none,none,free,crowded,broad,white,enlarging,cup,smooth,smooth,white,white,2,pendant,white,scattered,grasses
1256,poisonous,knobbed,scaly,red,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,white,white,1,evanescent,white,several,paths
1257,poisonous,flat,scaly,gray,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,buff,pink,1,large,chocolate,several,woods
1258,edible,flat,smooth,white,bruises,ansie,free,crowded,narrow,pink,tapering,bulbuous,smooth,smooth,white,white,1,pendant,purple,several,woods
1259,edible,flat,fibrous,gray,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,gray,white,1,pendant,brown,solitary,woods
1260,poisonous,flat,scaly,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,1,pendant,brown,several,urban
1261,edible,flat,smooth,brown,none,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,1,evanescent,brown,scattered,grasses
1262,edible,convex,fibrous,brown,bruises,none,free,close,broad,purple,tapering,bulbuous,smooth,smooth,pink,pink,1,pendant,black,solitary,woods
1263,edible,flat,smooth,white,none,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,1,evanescent,brown,scattered,grasses
1264,edible,bell,scaly,white,bruises,ansie,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,1,pendant,brown,scattered,grasses
1265,poisonous,convex,smooth,brown,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,woods
1266,edible,flat,fibrous,white,none,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,1,evanescent,brown,abundant,grasses
1267,poisonous,knobbed,smooth,brown,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,paths
1268,edible,flat,scaly,red,bruises,none,free,close,broad,red,enlarging,cup,smooth,smooth,red,red,2,evanescent,white,clustered,waste
1269,edible,convex,fibrous,brown,none,none,free,crowded,broad,black,tapering,equal,fibrous,smooth,white,white,1,evanescent,black,abundant,grasses
1270,poisonous,flat,fibrous,gray,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,buff,pink,1,large,chocolate,several,grasses
1271,poisonous,flat,fibrous,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,brown,1,large,chocolate,several,paths
1272,edible,convex,smooth,brown,none,none,attached,close,broad,brown,enlarging,cup,smooth,smooth,orange,orange,1,pendant,orange,clustered,leaves
1273,edible,convex,scaly,red,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,pink,gray,1,pendant,brown,solitary,woods
1274,edible,knobbed,fibrous,white,none,none,free,crowded,broad,pink,enlarging,cup,smooth,smooth,white,white,2,pendant,white,numerous,grasses
1275,edible,bell,smooth,yellow,bruises,ansie,free,close,broad,black,enlarging,club,smooth,smooth,white,white,1,pendant,brown,numerous,meadows
1276,edible,flat,smooth,gray,none,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,1,evanescent,black,abundant,grasses
1277,poisonous,convex,smooth,white,bruises,foul,free,close,broad,chocolate,tapering,bulbuous,fibrous,fibrous,white,white,1,pendant,chocolate,several,grasses
1278,edible,convex,smooth,white,none,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,1,evanescent,black,abundant,grasses
1279,poisonous,convex,fibrous,gray,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,pink,brown,1,large,chocolate,solitary,woods
1280,edible,flat,fibrous,gray,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,pink,white,1,pendant,black,several,woods
1281,poisonous,convex,fibrous,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,brown,1,large,chocolate,solitary,woods
1282,poisonous,knobbed,smooth,brown,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,woods
1283,poisonous,convex,smooth,gray,bruises,foul,free,close,broad,chocolate,tapering,bulbuous,fibrous,fibrous,white,white,1,pendant,chocolate,several,urban
1284,poisonous,flat,smooth,red,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,woods
1285,poisonous,convex,scaly,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,brown,buff,1,large,chocolate,several,woods
1286,edible,convex,fibrous,red,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,pink,gray,1,pendant,brown,several,woods
1287,edible,convex,scaly,brown,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,white,pink,1,pendant,black,several,woods
1288,poisonous,convex,smooth,brown,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,white,pink,1,evanescent,white,several,paths
1289,poisonous,flat,smooth,red,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,pink,pink,1,evanescent,white,several,woods
1290,poisonous,convex,fibrous,gray,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,brown,1,large,chocolate,several,grasses
1291,poisonous,convex,smooth,gray,bruises,foul,free,close,broad,white,tapering,bulbuous,smooth,fibrous,white,white,1,pendant,chocolate,scattered,grasses
1292,poisonous,flat,scaly,brown,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,white,white,1,evanescent,white,several,woods
1293,edible,bell,smooth,white,bruises,ansie,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,1,pendant,black,numerous,meadows
1294,poisonous,convex,scaly,gray,none,foul,free,close,broad,chocolate,enlarging,bulbuous,silky,smooth,brown,brown,1,large,chocolate,several,paths
1295,edible,sunken,fibrous,gray,none,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,1,pendant,brown,several,urban
1296,edible,convex,fibrous,brown,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,gray,gray,1,pendant,black,several,woods
1297,edible,convex,smooth,yellow,bruises,ansie,free,close,broad,gray,enlarging,club,smooth,smooth,white,white,1,pendant,brown,scattered,meadows
1298,edible,flat,scaly,red,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,white,gray,1,pendant,black,solitary,woods
1299,edible,convex,fibrous,brown,bruises,none,free,close,broad,pink,tapering,bulbuous,smooth,smooth,pink,gray,1,pendant,brown,several,woods
1300,poisonous,convex,fibrous,yellow,none,foul,free,close,broad,gray,enlarging,bulbuous,silky,smooth,brown,buff,1,large,chocolate,solitary,grasses
1301,poisonous,flat,scaly,red,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,paths
1302,poisonous,convex,scaly,brown,none,fishy,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,paths
1303,poisonous,knobbed,smooth,brown,none,foul,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,woods
1304,edible,flat,scaly,gray,bruises,none,free,close,broad,white,tapering,bulbuous,smooth,smooth,gray,gray,1,pendant,black,several,woods
1305,edible,convex,fibrous,gray,none,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,1,evanescent,black,scattered,grasses
1306,edible,convex,scaly,brown,bruises,ansie,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,1,pendant,brown,solitary,paths
1307,edible,convex,fibrous,white,none,none,free,crowded,broad,brown,tapering,equal,smooth,smooth,white,white,1,evanescent,brown,scattered,grasses
1308,poisonous,flat,smooth,red,none,spicey,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,paths
1309,edible,convex,fibrous,white,none,none,free,crowded,broad,pink,enlarging,cup,silky,smooth,white,white,2,pendant,white,scattered,grasses
1310,poisonous,knobbed,smooth,brown,none,foul,free,close,narrow,buff,tapering,cup,silky,smooth,pink,pink,1,evanescent,white,several,paths
1311,poisonous,flat,scaly,red,none,fishy,free,close,narrow,buff,tapering,cup,silky,smooth,pink,white,1,evanescent,white,several,paths
1312,poisonous,convex,fibrous,gray,none,creosote,free,close,narrow,brown,enlarging,bulbuous,smooth,smooth,white,white,1,pendant,brown,scattered,woods
1313,poisonous,knobbed,smooth,red,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,pink,white,1,evanescent,white,several,woods
1314,edible,knobbed,smooth,gray,none,none,free,crowded,broad,white,enlarging,cup,smooth,smooth,white,white,2,pendant,white,numerous,grasses
1315,edible,convex,fibrous,gray,bruises,none,free,close,broad,brown,tapering,bulbuous,smooth,smooth,white,white,1,pendant,black,solitary,woods
1316,poisonous,convex,fibrous,yellow,none,foul,free,close,broad,pink,enlarging,bulbuous,silky,smooth,pink,brown,1,large,chocolate,several,grasses
1317,edible,bell,smooth,white,bruises,ansie,free,close,broad,white,enlarging,club,smooth,smooth,white,white,1,pendant,black,scattered,meadows
1318,edible,flat,fibrous,white,none,none,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,1,evanescent,black,abundant,grasses
1319,poisonous,knobbed,scaly,red,none,spicey,free,close,narrow,buff,tapering,cup,smooth,smooth,white,pink,1,evanescent,white,several,woods
1320,edible,flat,fibrous,brown,none,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,1,pendant,brown,solitary,urban
